id_buku,id_ddc,id_jenisbuku,id_sumberbuku,judul_buku,penerbit,pengarang,isbn,thn_terbit,tinggi_buku,tgl_penerimaan,jml_halaman,jml_eksemplar,stok_buku,rak_buku,gambar_buku
,3,,,Pendidikan Agama Islam 2,,,,,,,,,,,
,3,,,Pendidikan Agama Islam 3,,,,,,,,,,,
,3,,,Pendidikan Agama Islam 3,,,,,,,,,,,
,3,,,Pendidikan Agama Islam Dan Budi Pekerti ,,,,,,,,,,,
,3,,,Pendidikan Agama Islam Dan Budi Pekerti XI,,,,,,,,,,,
,8,,,Pendidikan Jasmani Olahraga Dan Kesehatan X,Kemendikbud Jakarta ,Kemendikbud,,2014,,,,,,,
,8,,,Pendidikan Jasmani Olahraga Dan Kesehatan XI,Kemendikbud Jakarta ,Kemdikbud ,,2017,,,,,,,
,8,,,"Pendidikan Jasmani, Olahraga Dan Kesehatan 1",Erlangga Ciracas Jakarta,"Indiarti Agung, M Azhar M",,2017,,,,,,,
,8,,,"Pendidikan Jasmani, Olahraga Dan Kesehatan XI",Kemendikbud Jakarta ,Kemendikbud,,2017,,,,,,,
,,,,Pendidikan Kewarganegaraan XI (2),,,,,,,,,,,
,,,,Pendidikan Pancasila Dan Kewarganegaraan X,,,,,,,,,,,
,,,,Pendidikan Pancasila Dan Kewarganegaraan XI,,,,,,,,,,,
,,,,Pengantar Kebutuhan Dasar Manusia ,,,,,,,,,,,
,,,,Perhitungan Dosis Obat ,,,,,,,,,,,
,,,,Perundang-undangan Kesehatan,,,,,,,,,,,
,13,,,Peruntuhan Cahaya,Hikayat Jakarta ,Jamal D Rah,,35,,,,,,,
,13,,,Potret Seorang Penyair Muda Sebagai Si Maling Kundang ,Nusa Agung Jakarta ,Goenawan M,,35,,,,,,,
,11,,,Practise Your English Competence 1,,,,,,,,,,,
,11,,,Practise Your English Competence 2,,,,,,,,,,,
,8,,,Prakarya Dan Kewirausahaan XI,Kemendikbud Jakarta ,Kemendikbud,,2017,,,,,,,
,17,,,Praktik Klinik Keperawatan Dasar 3,Buku Kedokteran,Barbara R Hg.,,2013,,,,,,,
,14,,,Prigel Bahasa Jawa 1,Erlangga Ciracas Jakarta,Gandung W,,2014,,,,,,,
,14,,,Prigel Bahasa Jawa 2,Erlangga  Jakarta,Gedung Wid,,2014,,,,,,,
,14,,,Prigel Bahasa Jawa 3 (XII),Erlangga Jakarta,Gandung W,,2013,,,,,,,
,14,,,Prigel Bahasa Jawa 3 (XII),Erlangga Jakarta,Gandung W,,2013,,,,,,,
,8,,,Produk Kreatif Dan Kewirausahaan,Yudistira,Dony Kusuma,,2019,,,,,,,
,8,,,Produk Kreatif Dan Kewirausahaan 1,Jakarta Yudistira,Dody Kusuma,,2019,,,,,,,
,8,,,Produk Kreatif Dan Kewirausahaan XI Dan XII,,,,,,,,,,,
,12,,,Produktif Berbahasa Indonesia,Erlangga Ciracas Jakarta,Yustinah,,2017,,,,,,,
,12,,,Produktif Berbahasa Indonesia 2,Erlangga Ciracas Jakarta,Yustinah,,2018,,,,,,,
,12,,,Produktif Berbahasa Indonesia XII (3),Erlangga Jakarta,Yustinah,,2019,,,,,,,
,12,,,Produktif Berbahasa Indonesia XII (3),Erlangga Jakarta,Yustinah,,2019,,,,,,,
,12,,,PTP Bahasa Indonesia Kelas X,Erlangga Jakarta,Sujepti,,2020,,,,,,,
,12,,,PTP Bahasa Indonesia Kelas XI,Erlangga Jakarta,Sujepti,,2020,,,,,,,
,12,,,PTP Bahasa Indonesia Kelas XII,Erlangga Jakarta,Sujepti,,2020,,,,,,,
,12,,,PTP Bahasa Indonesia X (1),Erlangga Jakarta,Sujepti,,2020,,,,,,,
,12,,,PTP Bahasa Indonesia XI (1),Erlangga Jakarta,Sujepti,,2020,,,,,,,
,16,,,PTP Matematika Kelas X,Erlangga Jakarta,Eka Zuliana,,2020,,,,,,,
,16,,,PTP Matematika Kelas XI,Erlangga Jakarta,Eka Zuliana,,2020,,,,,,,
,16,,,PTP Matematika Kelas XII,Erlangga Jakarta,Eka Zuliana,,2020,,,,,,,
,16,,,PTP Matematika X (1),Erlangga Jakarta,Eka Zuliana,,2020,,,,,,,
,11,,,PTP Splash Grade XI,Erlangga Jakarta,Anik M,,2020,,,,,,,
,11,,,PTP Splash Grade XII,Erlangga Jakarta,Anik M,,2020,,,,,,,
,11,,,PTP Splash X (1),Erlangga Jakarta,Anik M,,2020,,,,,,,
,11,,,PTP Splash XI (2),Erlangga Jakarta,Anik M,,2020,,,,,,,
,13,,,Reportase Yang Menakutkan ,Jakarta Nafila ,Mustofa,,35,,,,,,,
,13,,,Robohnya Surau Kami ,Gramedia Jakarta,A.A Navis,,35,,,,,,,
,13,,,Romeo Juliet,Navila Jakarta ,Skakespera,,35,,,,,,,
,13,,,Rumah Cahaya,Gama Media Yogyakarta,Abdul Wachid,,35,,,,,,,
,13,,,Sebelum Senja Selesai,Hikayat Publis Yogyakarta,Moh. Wanganw,,35,,,,,,,
,13,,,Sejarah Indonesia,Kemendikbud Jakarta ,Kemendikbud  ,,2016,,,,,,,
,13,,,Sejarah Indonesia,Kemendikbud Jakarta ,Kemendikbud  ,,2016,,,,,,,
,13,,,Sembayang Rumputan,Navila Jakarta ,Ahmadun Y,,35,,,,,,,
,8,,,Seni Budaya I,Erlangga Ciracas Jakarta,"Sugiyanto, T. Agustin ",,2018,,,,,,,
,8,,,Seni Budaya XI,Kemendikbud Jakarta ,Kemendikbud,,2017,,,,,,,
,1,,,Simulasi Dan Komunikasi ,,,,,,,,,,,
,13,,,Slilit Sang Kiai ,Grafiti Jakarta,Emha Ainun,,35,,,,,,,
,13,,,Sri Rejeki ,Intimedia ,"Kasno, S.Pd",,34,,,,,,,
,13,,,Sri Sumarah,Grafiti Jakarta,Kumpulan Saja,,35,,,,,,,
,13,,,Suara Sang Guru ,Pustaka Jaya Jakarta,Kahil Gibran,,1992,,,,,,,
,13,,,Sumur Tanpa Dasar,Nusa Agung Jakarta ,Arifin C Noer,,35,,,,,,,
,13,,,Sumur Tanpa Dasar,Nusa Agung Jakarta ,Arifin C Noer,,35,,,,,,,
,,,,Tanaman Obat Indonesia,,,,,,,,,,,
,13,,,Tuanku Imam Bonjol ,Kemendikbud Jakarta ,Drs. Mardjaai ,,1985,,,,,,,
,11,,,X-Epres UN  Bahasa Inggris,Erlangga Jakarta,Endrawati,,2019,,,,,,,
,12,,,X-Epres UN 2019 Bahasa Indonesia,Erlangga Jakarta,Rustamaji,,2018,,,,,,,
,11,,,X-Epres UN 2019 Bahasa Inggris,Erlangga Jakarta,Endarwati,,2018,,,,,,,
,16,,,X-Epres UN 2019 Matematika,Erlangga Jakarta,Kasmina ,,2018,,,,,,,
,12,,,X-Epres UN 2020 Bahasa Indonesia,Erlangga Jakarta,Rustamaji,,2019,,,,,,,
,16,,,X-Epres UN 2020 Matematika,Erlangga Jakarta,Kasmina,,2018,,,,,,,
